energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.839,0.108,94.015,0.0287,0.0014,0.000365,4,0.517,0,215880,-3.521,0.416,1,audio_features,spotify:track:0yac0FPhLRH9i9lOng3f81
0.825,0.0618,121.949,0.111,0.0895,1.86e-05,4,0.694,1,208067,-5.986,0.788,1,audio_features,spotify:track:1FKxKGONukVFXWVJxAKmlz
0.747,0.138,150.088,0.0736,0.028,0.00615,4,0.662,11,234147,-6.926,0.487,0,audio_features,spotify:track:214nt20w5wOxJnY462klLw
0.858,0.364,95.049,0.0483,0.0826,0.0,4,0.742,10,194742,-4.946,0.64,1,audio_features,spotify:track:0JcNysfWVWaMS7R6vzGB2k
0.694,0.427,113.78,0.134,0.0153,0.0,4,0.438,0,367947,-10.868,0.439,0,audio_features,spotify:track:2Vhk4qfM3dB6utWxnatpFY
0.534,0.1,145.816,0.0677,0.164,0.0,4,0.668,1,136248,-6.586,0.711,1,audio_features,spotify:track:6hLkeOMrhZ2CMLBp2of576
0.92,0.358,144.99,0.0574,0.00529,0.0,4,0.557,6,180133,-4.575,0.659,1,audio_features,spotify:track:3Xbu82dGGxR6HUbQwINegC
0.311,0.098,89.751,0.0301,0.61,0.0,4,0.553,5,238260,-9.358,0.472,1,audio_features,spotify:track:0TczqUZnms3hM62usj464t
0.661,0.0909,109.94,0.036,0.059,0.0,4,0.689,11,214427,-6.468,0.343,1,audio_features,spotify:track:2DPI5lHpb0wmjaL222fPdF
0.894,0.179,104.993,0.0402,0.0309,2.15e-05,4,0.587,0,189507,-4.184,0.81,0,audio_features,spotify:track:3msS7xaelR4Oa0n7IwHkgF
0.714,0.447,77.996,0.0303,0.0225,1.62e-06,4,0.464,2,200947,-3.969,0.58,1,audio_features,spotify:track:0kuSx4Cm1q6N6pOmCI9CRY
0.619,0.248,120.022,0.102,0.501,2.19e-05,4,0.762,2,219493,-5.227,0.596,0,audio_features,spotify:track:2J4T0IOIZjQhLzosKPR2PN
0.767,0.11,75.016,0.038,0.317,0.0107,4,0.546,6,227440,-6.576,0.388,0,audio_features,spotify:track:4fD81QnkQYvhVw0a0ghN4x
0.775,0.0883,119.964,0.0473,0.269,0.0,4,0.601,0,190295,-4.612,0.483,1,audio_features,spotify:track:6jreFSOTUAViWjKyzOC4Kg
0.729,0.0928,110.055,0.0573,0.437,0.00369,4,0.688,4,251029,-6.56,0.469,0,audio_features,spotify:track:7aQeWViSfRWSEwtJD86Eq0
0.601,0.0821,117.018,0.0413,0.0355,0.0,4,0.596,11,196333,-4.876,0.613,0,audio_features,spotify:track:3UmBgQiJhbNMmyPVceuH4d
0.878,0.336,128.018,0.0485,0.00145,0.344,4,0.547,3,248280,-4.245,0.405,1,audio_features,spotify:track:6fKEplI9iN0JMHsRGQESaT
0.328,0.123,80.095,0.0353,0.459,0.0,4,0.684,11,194880,-5.013,0.466,0,audio_features,spotify:track:3k5PIl6A8QVFxvbFLdW3Wi
0.743,0.0966,113.967,0.114,0.0885,0.0,4,0.694,9,194573,-5.787,0.55,0,audio_features,spotify:track:5jpfTcpNgRmnMBOluuGNZB
0.465,0.166,87.98,0.0615,0.618,1.04e-06,4,0.617,10,221467,-7.361,0.404,1,audio_features,spotify:track:6sUBGw9fl8uljM5z6Hqip7
0.455,0.107,99.942,0.12,0.508,0.000213,4,0.457,7,208827,-9.116,0.284,1,audio_features,spotify:track:5j5bQ1TrOO3U6mfysOQAtB
0.225,0.106,120.006,0.0994,0.902,0.657,4,0.704,6,245426,-14.454,0.243,0,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ
0.899,0.137,125.85,0.0458,0.0113,9.65e-05,4,0.55,5,170079,-3.284,0.408,0,audio_features,spotify:track:1nufXiTCTTAeJfO9hLHvO8
0.601,0.0998,132.06,0.0321,0.175,0.0,4,0.585,8,229413,-5.749,0.372,0,audio_features,spotify:track:45mnAtRP2f85mEjmRFv6ek
0.741,0.133,105.997,0.053,0.155,0.0,4,0.717,10,186062,-6.645,0.188,0,audio_features,spotify:track:510UgVCpnUaQ5ACHW2J8gu
0.467,0.0828,84.846,0.0287,0.48,0.0,4,0.609,0,206928,-6.414,0.249,0,audio_features,spotify:track:51vvmL3kyLhCr5hqy4MbFC
0.619,0.14,137.043,0.0663,0.596,0.0,4,0.665,10,138115,-8.327,0.541,0,audio_features,spotify:track:1TkXApzsz0a6YRArjbqprt
0.545,0.121,77.394,0.0374,0.196,9.18e-06,3,0.331,10,210667,-7.963,0.586,1,audio_features,spotify:track:4O0UPAGXfeAK8vM4OUEBFD
0.713,0.303,61.519,0.0366,0.33,0.0,4,0.359,5,194387,-4.526,0.272,1,audio_features,spotify:track:2iZXMKa6Q4GBngBuRWtUtm
0.664,0.0759,140.059,0.0302,0.452,0.00552,4,0.705,10,231760,-6.093,0.588,1,audio_features,spotify:track:2UyZTPrWFSMysY9cVVjmaB
0.449,0.045,135.893,0.0611,0.0205,0.0,4,0.597,6,215294,-8.36,0.539,1,audio_features,spotify:track:4JSQYAKvuhgGjzpqoMdoCi
0.863,0.207,106.03,0.037,0.00462,4.77e-05,4,0.567,7,214360,-5.158,0.722,0,audio_features,spotify:track:12pdXFcruNcPUbZypKUDgz
0.395,0.263,132.975,0.0264,0.792,2e-06,4,0.592,0,262853,-6.643,0.384,1,audio_features,spotify:track:1qRjGm49sjk0NntgZMdDzn
0.726,0.0844,114.996,0.0552,0.157,0.0,4,0.647,3,198996,-4.389,0.767,0,audio_features,spotify:track:3M9Apu4OZfylLTFKvgEtKa
0.83,0.146,124.953,0.0521,0.0074,0.0,4,0.588,5,192000,-6.188,0.585,0,audio_features,spotify:track:08rjzQsf8beRbqIZyX3Snw
0.595,0.0859,74.986,0.0288,0.285,0.0,4,0.626,0,212107,-4.975,0.65,0,audio_features,spotify:track:3mbL70beTjRVn8JSiU6LiW
0.511,0.206,135.009,0.0375,0.0323,0.000244,4,0.562,5,217933,-7.96,0.134,1,audio_features,spotify:track:57cAALfX35bWaURrtJnumR
0.857,0.302,165.165,0.412,0.0153,0.000116,4,0.381,9,232267,-5.128,0.297,0,audio_features,spotify:track:5uzb9K0tH87od3yjFBENFq
0.513,0.069,142.067,0.0492,0.643,3.24e-05,4,0.379,1,258000,-7.724,0.108,0,audio_features,spotify:track:6S91KdGvAQdUU8vNpqIte7
0.0739,0.0827,121.948,0.0544,0.934,0.781,3,0.475,0,245307,-22.641,0.102,1,audio_features,spotify:track:1cO0leXSGQuzc7W3QMFkDS
0.622,0.498,96.964,0.0337,0.344,0.0699,4,0.517,6,244960,-9.135,0.51,0,audio_features,spotify:track:0szmjOw9XbtbQYWz0GvXSp
0.797,0.38,178.021,0.0386,0.0175,0.0,4,0.564,10,176747,-4.534,0.559,0,audio_features,spotify:track:4yYyidLY7wb22VEIL6Hzcj
