energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,genre
0.688,0.105,103.98200000000001,0.0565,0.23800000000000002,1.93e-05,4,0.851,11,259600,-4.038,0.732,1,audio_features,spotify:track:5m3jpKkgkfoMcym1qjToFg,latin reggaeton reggaeton flow trap latino
0.8029999999999999,0.136,91.98700000000001,0.126,0.602,0.00853,4,0.807,11,258800,-4.156000000000001,0.706,1,audio_features,spotify:track:5W83ErFkO3aKAIS1WMi6u0,latin reggaeton flow trap latino
0.715,0.0574,101.085,0.298,0.295,0.000134,4,0.8029999999999999,2,200960,-3.28,0.574,1,audio_features,spotify:track:0MvxgmXHMXh70GpnR0mKkT,
0.473,0.109,133.44899999999998,0.0345,0.326,0.000124,4,0.396,10,219027,-7.67,0.385,0,audio_features,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,baroque pop brill building pop classic rock folk rock psychedelic rock rock sunshine pop
0.769,0.0928,122.507,0.0422,0.0142,0.0,4,0.316,0,321147,-5.2829999999999995,0.127,0,audio_features,spotify:track:27IZXTdeGYjU6m5lTyDpmr,indie folk indie pop indie rock modern rock stomp and holler
0.406,0.10800000000000001,119.993,0.0395,0.8590000000000001,0.0131,4,0.813,6,155973,-13.72,0.794,0,audio_features,spotify:track:2TkyyKvoQbuTYcHMlJYsrP,alternative dance art pop chamber psych dance-punk indie rock indietronica leeds indie modern rock new rave
0.45299999999999996,0.0903,134.904,0.0467,0.5429999999999999,0.0158,4,0.55,5,224600,-13.359000000000002,0.152,0,audio_features,spotify:track:2ciYXl6qAqMicL9eQGQNTx,alternative dance art pop chamber psych dance-punk indie rock indietronica leeds indie modern rock new rave
0.508,0.10800000000000001,82.008,0.035,0.14400000000000002,0.0,4,0.7020000000000001,8,252337,-7.105,0.14300000000000002,1,audio_features,spotify:track:4EjZUMyhC59LDHPILsra5u,pop
0.762,0.162,138.058,0.21600000000000003,0.21899999999999997,0.0,4,0.885,8,189733,-5.513,0.605,0,audio_features,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,pop uk pop
0.302,0.268,92.8,0.0354,0.7240000000000001,0.0,4,0.583,3,177000,-8.097000000000001,0.496,0,audio_features,spotify:track:2uKDcfavYygXfd8E15ec0d,indie cafe pop swedish pop
0.63,0.293,117.945,0.0348,0.00462,0.0,4,0.557,6,214000,-5.558,0.49,0,audio_features,spotify:track:5H3oNfUXrqQuaFpIJN2q2C,indie cafe pop swedish pop
0.733,0.193,89.992,0.0693,0.0334,0.00193,4,0.5579999999999999,8,237140,-6.65,0.17300000000000001,1,audio_features,spotify:track:2WWfjbHALIb3e7FMcj9mr4,chillwave ninja
0.679,0.64,166.045,0.0761,0.00474,6.57e-06,4,0.573,0,233813,-6.191,0.747,1,audio_features,spotify:track:7oZryU4VFbqOxT0bRceSjj,french indie pop french indietronica new french touch
0.855,0.335,120.045,0.0499,0.0124,0.0,4,0.669,0,227280,-3.035,0.648,0,audio_features,spotify:track:62zFEHfAYl5kdHYOivj4BC,dance pop latin miami hip hop pop pop rap
0.723,0.14,113.77799999999999,0.0566,0.179,1.23e-05,4,0.6609999999999999,5,163805,-6.976,0.316,0,audio_features,spotify:track:7Feaw9WAEREY0DUOSXJLOM,big room edm electro house pop progressive house tropical house
0.755,0.0795,97.06299999999999,0.05,0.0533,1.15e-05,4,0.667,11,180816,-5.893,0.47200000000000003,0,audio_features,spotify:track:6TNK1SFt77MvTFoiTloiFQ,german pop
0.475,0.122,143.175,0.0417,0.643,0.0,4,0.6629999999999999,1,191027,-8.834,0.644,1,audio_features,spotify:track:4fXGWiVhlOLdhwRDP6pIFG,german pop rock
